Particles,Noise,Tiempo
1500,4.0,1934
1500,4.0,1905
1500,4.0,1862
1500,4.0,1946
1500,3.5,2185
1500,3.5,2127
1500,3.5,1890
1500,3.5,1637
1500,3.0,1224
1500,3.0,1239
1500,3.0,1175
1500,3.0,1189
1500,2.5,1047
1500,2.5,957
1500,2.5,997
1500,2.5,1017
1500,2.0,758
1500,2.0,1316
1500,2.0,676
1500,2.0,915
1500,1.5,706
1500,1.5,767
1500,1.5,882
1500,1.5,732
1500,1.0,572
1500,1.0,333
1500,1.0,569
1500,1.0,559
1500,0.5,511
1500,0.5,527
1500,0.5,470
1500,0.5,701
1500,0.0,620
1500,0.0,621
1500,0.0,608
1500,0.0,598
300,1.5,1008
300,1.5,849
300,1.5,992
300,1.5,949
300,1.0,966
300,1.0,1007
300,1.0,1031
300,1.0,599
300,2.5,1193
300,2.5,1129
300,2.5,1100
300,2.5,1563
300,4.0,1914
300,4.0,1750
300,4.0,1614
300,4.0,1772
300,0.0,686
300,0.0,705
300,0.0,719
300,0.0,711
300,3.0,1552
300,3.0,1530
300,3.0,1423
300,3.0,1392
300,4.5,3053
300,4.5,3058
300,4.5,2891
300,4.5,3484
300,3.5,1439
300,3.5,1855
300,3.5,1433
300,3.5,1808
300,2.0,1155
300,2.0,1151
300,2.0,1150
300,2.0,1121
300,0.5,882
300,0.5,953
300,0.5,940
300,0.5,929
900,4.02,1743
900,4.02,2661
900,4.02,2133
900,4.02,1723
900,5.02,3522
900,5.02,3679
900,5.02,3422
900,0.52,791
900,0.52,1154
900,0.52,617
900,0.52,592
900,2.02,1326
900,2.02,1891
900,2.02,1480
900,2.02,1171
900,1.02,792
900,1.02,1068
900,1.02,909
900,1.02,770
900,3.52,1673
900,3.52,2638
900,3.52,1481
900,3.52,1492
900,4.52,2687
900,4.52,3486
900,4.52,2291
900,4.52,2339
900,3.02,1613
900,3.02,2263
900,3.02,1855
900,3.02,1546
900,1.52,927
900,1.52,1085
900,1.52,775
900,1.52,752
900,0.02,947
900,0.02,1037
900,0.02,900
900,0.02,937
900,2.52,1196
900,2.52,2169
900,2.52,1354
900,2.52,1150
1500,5.0,3521
1500,5.0,2992
1500,5.0,3186
1500,5.0,3271
1500,4.5,2530
1500,4.5,2226
1500,4.5,2338
1500,4.5,2268