Particles,Noise,Pendiente,Error
600,2.5,0.6000200000000001,2279806.3375000325
600,0.0,0.6830200000000001,1981865.9324999987
600,1.5,0.6660200000000002,145948.59300000424
600,3.5,0.5000200000000001,805522.6875
600,3.0,0.6000200000000001,37481408.38750015
600,0.5,0.8000200000000001,132333807.30000009
600,5.0,0.26002000000000003,1964545.3300000038
600,2.0,0.6462400000000001,326095.1076955989
600,1.0,0.8000200000000001,215474221.6374999
600,4.0,0.4200200000000001,1068498.8275000202
600,4.5,0.3800200000000001,12300389.105000064
300,5.0,0.09500500000000002,1207782.5200000033
300,1.5,0.35000499999999996,10886496.687500015
300,1.0,0.35000499999999996,1381675.7124999885
300,2.5,0.30000499999999997,408445.78749999905
300,4.0,0.201605,241107.95823999937
300,0.0,0.35000499999999996,2230637.9874999947
300,3.0,0.267505,119080.42625000006
300,4.5,0.151155,435866.3858399999
300,3.5,0.250005,2143047.5
300,2.0,0.315005,199521.94499999998
300,0.5,0.35000499999999996,624194.5624999941